"date","Q","NO3","CODIGO_ESTACAO","status"
"2001-02-06",285.000337536144,0.27,"MOGU02900",1
"2001-04-03",305.360213715823,0.28,"MOGU02900",1
"2001-06-20",115.447474292986,0.47,"MOGU02900",2
"2001-08-07",82.0867414371864,0.58,"MOGU02900",1
"2001-10-02",104.302059436951,0.58,"MOGU02900",2
"2001-12-04",172.820012191975,0.41,"MOGU02900",1
"2002-02-19",589.307315476025,0.1,"MOGU02900",1
"2002-04-22",206.899520823196,0.41,"MOGU02900",1
"2002-06-26",136.404587156727,0.63,"MOGU02900",1
"2002-08-07",189.269064437088,0.89,"MOGU02900",1
"2002-10-02",117.660618062828,0.49,"MOGU02900",1
"2002-12-10",173.148105700229,0.36,"MOGU02900",1
"2003-02-05",729.539428380469,0.12,"MOGU02900",1
"2003-04-09",272.72252283593,0.37,"MOGU02900",1
"2003-06-09",158.793841799374,0.34,"MOGU02900",1
"2003-08-06",92.0825050234974,0.44,"MOGU02900",1
"2003-10-01",72.4661735397473,0.3,"MOGU02900",1
"2003-12-08",364.103170788811,0.42,"MOGU02900",1
"2004-02-11",392.166525180267,0.22,"MOGU02900",1
"2004-04-07",266.731464056293,0.24,"MOGU02900",1
"2004-06-16",282.525960715079,0.33,"MOGU02900",1
"2004-08-11",145.34454949547,0.62,"MOGU02900",1
"2004-10-25",188.256789041772,0.26,"MOGU02900",1
"2004-12-06",158.169285528418,0.4,"MOGU02900",1
"2005-02-16",341.004234507444,0.23,"MOGU02900",1
"2005-04-06",307.477374273129,0.33,"MOGU02900",1
"2005-06-15",167.662820926815,0.01,"MOGU02900",1
"2005-08-10",112.656068684216,0.52,"MOGU02900",1
"2005-10-24",106.908455448234,0.31,"MOGU02900",1
"2005-12-07",185.925207142689,0.73,"MOGU02900",1
"2006-02-15",537.977251616539,0.14,"MOGU02900",1
"2006-04-05",306.578994288686,0.25,"MOGU02900",1
"2006-06-20",116.49959955665,0.5,"MOGU02900",1
"2006-08-09",97.4159952504237,0.68,"MOGU02900",1
"2006-10-23",131.626516416635,0.42,"MOGU02900",1
"2006-12-04",142.400875597773,0.5,"MOGU02900",2
"2007-02-28",370.70231568503,0.4,"MOGU02900",1
"2007-04-11",299.787818784119,0.37,"MOGU02900",1
"2007-06-14",163.917873617706,0.27,"MOGU02900",1
"2007-08-08",157.360296915827,0.5,"MOGU02900",1
"2007-10-22",74.0417404373029,0.56,"MOGU02900",1
"2007-12-03",92.8462060465273,0.54,"MOGU02900",1
"2008-02-18",350.643616299229,0.06,"MOGU02900",1
"2008-04-09",375.694230389183,0.42,"MOGU02900",1
"2008-06-12",219.447345574863,0.33,"MOGU02900",1
"2008-08-11",192.833217780351,0.74,"MOGU02900",1
"2008-10-21",108.081948920099,0.66,"MOGU02900",1
"2008-12-02",143.935458164072,0.6,"MOGU02900",1
"2009-02-04",591.780559578281,0.26,"MOGU02900",1
"2009-04-06",284.514038407914,0.28,"MOGU02900",1
"2009-06-24",165.620068627792,0.43,"MOGU02900",1
"2009-08-19",125.501814510997,0.95,"MOGU02900",1
"2009-10-21",280.46655671055,0.65,"MOGU02900",1
"2009-12-09",647.160715930112,0.35,"MOGU02900",1
"2010-02-03",887.007299051803,0.2,"MOGU02900",1
"2010-04-08",462.773911622124,0.39,"MOGU02900",1
"2010-06-23",166.155186631212,0.8,"MOGU02900",1
"2010-08-18",110.006482157037,0.75,"MOGU02900",0
"2010-10-20",106.318642687773,0.74,"MOGU02900",1
"2010-12-15",187.883989295419,0.55,"MOGU02900",1
"2011-02-23",277.99939195442,0.43,"MOGU02900",1
"2011-04-27",253.042812743933,0.49,"MOGU02900",1
"2011-06-27",169.242803116805,0.68,"MOGU02900",1
"2011-08-24",116.898354317776,0.89,"MOGU02900",0
"2011-10-31",152.246808189974,0.81,"MOGU02900",1
"2012-02-15",517.094183412594,0.64,"MOGU02900",1
"2012-04-11",196.880123922739,0.8,"MOGU02900",1
"2012-06-27",425.279696106596,0.47,"MOGU02900",1
"2012-08-20",128.916896647745,0.92,"MOGU02900",1
"2012-10-31",141.05772242297,0.83,"MOGU02900",1
"2012-12-17",291.594280695639,0.66,"MOGU02900",1
"2013-02-18",421.424857407507,0.4,"MOGU02900",1
"2013-04-22",257.899192215323,0.59,"MOGU02900",1
"2013-06-24",199.068168226649,0.71,"MOGU02900",1
"2013-08-12",136.261794797654,0.91,"MOGU02900",1
"2013-10-28",146.382070694395,0.81,"MOGU02900",1
"2013-12-09",185.610182967105,0.7,"MOGU02900",1
"2014-02-11",82.5720241142027,0.77,"MOGU02900",1
"2014-04-23",103.672149746732,0.92,"MOGU02900",1
"2014-06-03",80.5532576218666,1.17,"MOGU02900",1
"2014-08-26",53.0277980152423,0.82,"MOGU02900",1
"2014-10-28",42.8891530939193,0.43,"MOGU02900",1
"2014-12-09",86.1392279948024,0.73,"MOGU02900",1
