"site.id","constituent","Water_Year","RL5.n","RL5.Flux_Rate","RL5.SE","RL5.CI_lower","RL5.CI_upper","RL7.n","RL7.Flux_Rate","RL7.SE","RL7.CI_lower","RL7.CI_upper","CMP.n","CMP.Flux_Rate","CMP.SE","CMP.CI_lower","CMP.CI_upper","INT.n","INT.Flux_Rate","INT.SE","INT.CI_lower","INT.CI_upper","BRE.n","BRE.Flux_Rate","BRE.SE","BRE.CI_lower","BRE.CI_upper","loadflex.version","run.date"
"MOGU02900","NO3","2001",273,1717804.76168047,249142.750817794,1281263.97062037,2255631.90818395,273,2086489.19137788,388702.697381252,1428172.65580119,2946012.97674199,273,2024086.59803395,NA,NA,NA,273,2020223.43364051,NA,NA,NA,NA,NA,NA,NA,NA,"1.1.11",2017-07-03 19:49:21
"MOGU02900","NO3","2002",365,2366870.78896513,297552.309432427,1837289.33935787,3001659.75202497,365,2648559.58814614,396258.707464124,1956833.13870049,3506320.8006151,365,2550863.19491961,NA,NA,NA,365,2700105.31063119,NA,NA,NA,NA,NA,NA,NA,NA,"1.1.11",2017-07-03 19:49:21
"MOGU02900","NO3","2003",365,2200780.15640914,249274.033658219,1752675.42776049,2728447.46766443,365,2189965.76821629,248480.275719285,1743358.1138273,2716018.20786621,365,1762036.885347,NA,NA,NA,365,1778848.63238458,NA,NA,NA,NA,NA,NA,NA,NA,"1.1.11",2017-07-03 19:49:21
"MOGU02900","NO3","2004",366,2632206.13716209,269421.12645575,2143664.36696599,3198576.28104606,366,2535148.59163587,248333.830021306,2083275.04976532,3055714.99789105,366,2495416.66952152,NA,NA,NA,366,2453640.40580635,NA,NA,NA,NA,NA,NA,NA,NA,"1.1.11",2017-07-03 19:49:21
"MOGU02900","NO3","2005",365,2809848.74914952,264444.295568732,2327199.98795565,3362810.76387649,365,2593968.26945084,247858.356008453,2142103.57156868,3112731.58374219,365,1986924.44274246,NA,NA,NA,365,2128668.50106028,NA,NA,NA,NA,NA,NA,NA,NA,"1.1.11",2017-07-03 19:49:21
"MOGU02900","NO3","2006",365,2501234.348074,219697.777301499,2098272.12809538,2958756.20848203,365,2167215.18455556,235794.73025545,1741830.35589405,2664939.75546252,365,2078920.17763013,NA,NA,NA,365,2152758.57639609,NA,NA,NA,NA,NA,NA,NA,NA,"1.1.11",2017-07-03 19:49:21
"MOGU02900","NO3","2007",365,3303507.01659244,295709.402036792,2761840.11268612,3919998.70061851,365,2763173.049339,292942.6953736,2233519.75773149,3380432.90578341,365,3026875.17911561,NA,NA,NA,365,3419226.61163116,NA,NA,NA,NA,NA,NA,NA,NA,"1.1.11",2017-07-03 19:49:21
"MOGU02900","NO3","2008",366,3424364.25760527,290317.115182187,2890599.11145433,4027742.19848832,366,3031939.23036197,319135.930941627,2454579.72677257,3704065.37908677,366,2615233.97530481,NA,NA,NA,366,2740570.93810586,NA,NA,NA,NA,NA,NA,NA,NA,"1.1.11",2017-07-03 19:49:21
"MOGU02900","NO3","2009",365,3867957.85137792,362483.734826855,3206165.2808578,4625727.65163495,365,3572451.34175545,374812.565586843,2894182.08538513,4361665.34373771,365,3375742.05084192,NA,NA,NA,365,3609050.86106104,NA,NA,NA,NA,NA,NA,NA,NA,"1.1.11",2017-07-03 19:49:21
"MOGU02900","NO3","2010",365,4717478.66904456,550523.480920929,3730546.69967165,5885357.47393781,365,4179828.61877964,474837.549012504,3326470.97304399,5185185.57691142,365,4510903.81295371,NA,NA,NA,365,4224338.87110838,NA,NA,NA,NA,NA,NA,NA,NA,"1.1.11",2017-07-03 19:49:21
"MOGU02900","NO3","2011",365,4241804.53315308,444137.000533019,3437948.53780991,5176862.57579396,365,4115683.43579115,412330.761516294,3366717.92533052,4981267.62393817,365,3979052.02809925,NA,NA,NA,365,4331208.72802232,NA,NA,NA,NA,NA,NA,NA,NA,"1.1.11",2017-07-03 19:49:21
"MOGU02900","NO3","2012",366,4629199.7898502,541233.195172048,3659092.29596518,5777527.84209495,366,5151169.38089766,616870.943143135,4047997.25379005,6462305.82245296,366,5481762.97686033,NA,NA,NA,366,5431955.80613522,NA,NA,NA,NA,NA,NA,NA,NA,"1.1.11",2017-07-03 19:49:21
"MOGU02900","NO3","2013",365,4777661.46032621,599150.684150752,3711032.41368666,6055626.36288075,365,5681741.70040456,802691.476745272,4270980.52862251,7410589.44488937,365,4592558.32443552,NA,NA,NA,365,4673744.57562836,NA,NA,NA,NA,NA,NA,NA,NA,"1.1.11",2017-07-03 19:49:21
"MOGU02900","NO3","2014",365,3087823.76866194,440726.273387792,2314145.83405744,4037901.96810927,365,3615146.40814046,580198.737228399,2611309.99848822,4879200.85374102,365,2871952.54838132,NA,NA,NA,365,2962163.85959471,NA,NA,NA,NA,NA,NA,NA,NA,"1.1.11",2017-07-03 19:49:21
"MOGU02900","NO3","2015",92,3004803.96496608,550855.868781553,2069552.93971067,4220849.3564927,92,3644363.57876554,814607.732908103,2307173.87657041,5482628.62722968,92,1662990.30543522,NA,NA,NA,92,2009350.02665308,NA,NA,NA,NA,NA,NA,NA,NA,"1.1.11",2017-07-03 19:49:21
